task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	14/1c0980	431675	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2024-04-25 09:30:54.831	10.6s	10s	100.3%	2.8 MB	11.9 MB	2.9 GB	14.4 KB
1	da/ead102	431700	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa)	COMPLETED	0	2024-04-25 09:30:54.985	14.4s	14s	99.5%	29.4 MB	38 MB	4.2 GB	1.2 GB
7	f8/d59531	439114	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (genome.filtered.gtf)	COMPLETED	0	2024-04-25 09:31:09.401	35.5s	34s	99.9%	3 GB	3 GB	1.2 GB	26.9 MB
8	05/cdcde9	439129	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	COMPLETED	0	2024-04-25 09:31:09.469	1m 4s	1m 3s	99.5%	1.5 GB	1.8 GB	4.9 GB	2.2 GB
5	45/cc8ba0	445633	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 09:31:34.954	28m 27s	28m 26s	198.0%	1.9 GB	6.6 GB	22.7 GB	5.1 MB
4	e7/addcfe	445623	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 09:31:34.926	32m 56s	32m 55s	198.1%	1.9 GB	6.6 GB	25.4 GB	5.1 MB
6	70/95344f	431694	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 09:30:54.972	1h 18m 39s	1h 18m 38s	774.3%	6.2 GB	7.5 GB	704.7 GB	681.9 GB
9	28/583af1	629530	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 10:49:34.080	6m 47s	6m 47s	99.8%	29.5 MB	36.9 MB	27.2 GB	93 MB
3	39/649191	431681	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 09:30:54.905	1h 30m 49s	1h 30m 49s	752.1%	6.2 GB	7.6 GB	792.3 GB	766.8 GB
11	41/990873	650498	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Hs27_WT_1_IGO_14178_1_S125)	COMPLETED	0	2024-04-25 11:01:44.344	7m 31s	7m 31s	99.7%	32.7 MB	40.1 MB	30.5 GB	92.8 MB
10	38/957cdf	629494	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2024-04-25 10:49:33.856	34m 51s	34m 50s	468.6%	18.8 GB	41.4 GB	65.8 GB	40.5 GB
12	5f/5117d0	666474	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (HS27_WT_2_IGO_14178_2_S126)	COMPLETED	0	2024-04-25 11:24:24.916	46.8s	45s	173.7%	17.4 GB	20.8 GB	16.7 GB	972 KB
